CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment,Cluster,Cluster_Name,Cluster_Action
12346,326,1,77183.6,1,1,5,7,115,Lost,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12347,2,7,4310.0,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12348,75,4,1797.24,2,4,4,10,244,Can't Lose Them,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12349,19,1,1757.55,4,1,4,9,414,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12350,310,1,334.40000000000003,1,1,2,4,112,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12352,36,8,2506.04,3,5,5,13,355,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12353,204,1,89.0,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12354,232,1,1079.4,1,1,4,6,114,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12355,214,1,459.4,1,1,2,4,112,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12356,23,3,2811.43,4,3,5,12,435,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12357,33,1,6207.67,4,1,5,10,415,New Customers,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12358,2,2,1168.06,5,2,4,11,524,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12359,58,4,6372.58,3,4,5,12,345,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12360,52,3,2662.06,3,3,5,11,335,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12361,287,1,189.9,1,1,1,3,111,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12362,3,10,5226.2300000000005,5,5,5,15,555,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12363,110,2,552.0,2,2,3,7,223,At Risk,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12364,8,4,1313.1,5,4,4,13,544,Champions,0,New Potentials,"Welcome series, onboarding discounts, education content"
12365,291,2,641.38,1,2,3,6,123,At Risk,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12367,4,1,168.9,5,1,1,7,511,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12370,51,4,3545.69,3,4,5,12,345,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12371,45,2,1887.96,3,2,4,9,324,Need Attention,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12372,72,3,1298.04,3,3,4,10,334,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12373,311,1,364.6,1,1,2,4,112,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12374,25,1,742.9300000000001,4,1,3,8,413,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12375,11,2,457.5,5,2,2,9,522,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12377,315,2,1628.12,1,2,4,7,124,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12378,130,1,4008.62,2,1,5,8,215,Lost,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12379,82,2,852.24,2,2,3,7,223,At Risk,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12380,22,4,2724.81,4,4,5,13,445,Champions,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12381,5,5,1845.31,5,4,4,13,544,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12383,185,5,1850.56,1,4,4,9,144,Can't Lose Them,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12384,29,2,585.27,4,2,3,9,423,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12386,338,2,401.9,1,2,2,5,122,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12388,16,6,2780.6600000000003,4,4,5,13,445,Champions,1,VIP Champions,"Loyalty rewards, referral programs, exclusive early access"
12390,80,1,549.84,2,1,3,6,213,Lost,3,Lost Causes,Final reactivation attempt or remove from active campaigns
12391,22,1,460.89,4,1,2,7,412,New Customers,0,New Potentials,"Welcome series, onboarding discounts, education content"
12393,72,4,1582.6,3,4,4,11,344,Promising,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
12394,64,2,1272.48,3,2,4,9,324,Need Attention,2,Loyal Regulars,"Upsell campaigns, early access to new products, cross-sell"
